Day fraction since midnight on 11/10/2022	7 kPa (cm)	Raw Water Pump ()	Pump Control ()	Clay Pump ()	PACl Pump ()	Floc Recycle Pump ()	Bulk Effluent Pump ()	ChemTrac Read All ()	PC 1.2 Total N ()	PC 1.2 Bin 1 N ()	PC 1.2 Bin 2 N ()	PC 1.2 Bin 3 N ()	PC 1.2 Bin 4 N ()	PC 1.2 Bin 5 N ()	PC 1.2 Bin 6 N ()	PC 1.2 Cell ()	PC 1.3 Total N ()	PC 1.3 Bin 1 N ()	PC 1.3 Bin 2 N ()	PC 1.3 Bin 3 N ()	PC 1.3 Bin 4 N ()	PC 1.3 Bin 5 N ()	PC 1.3 Bin 6 N ()	PC 1.3 Cell ()	PACl Scale ()	Raw Turbidity ()	Settled Water Turbidimeter ()	Basin Pump Duty Cycle ()
0.01632137	15.39165020	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3962.35576248	28697.00000000	147.00000000	507.00000000	3427.00000000	14187.00000000	10252.00000000	177.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.90000000	110.00000000	110.00000000	0.00000000
0.01701584	16.35566711	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4022.45955229	28641.00000000	138.00000000	482.00000000	3327.00000000	14010.00000000	10508.00000000	175.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.90000000	110.00000000	110.00000000	0.00000000
0.01771030	16.68239784	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4082.56448984	28720.00000000	147.00000000	500.00000000	3416.00000000	14185.00000000	10291.00000000	180.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.90000000	110.00000000	110.00000000	0.00000000
0.01840477	16.74627876	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4142.47770500	28581.00000000	145.00000000	484.00000000	3324.00000000	14041.00000000	10414.00000000	172.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.90000000	110.00000000	110.00000000	0.00000000
0.01909924	16.86699486	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4202.40579462	28647.00000000	149.00000000	509.00000000	3446.00000000	14186.00000000	10195.00000000	162.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.00000000	110.00000000	110.00000000	0.00000000
0.01979370	17.03697014	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4262.32111788	28688.00000000	148.00000000	493.00000000	3341.00000000	14084.00000000	10430.00000000	192.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.00000000	110.00000000	110.00000000	0.00000000
0.02048816	17.22721100	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4322.24870968	28715.00000000	156.00000000	515.00000000	3385.00000000	14180.00000000	10310.00000000	168.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.00000000	110.00000000	110.00000000	0.00000000
0.02118263	17.35534286	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4382.35296106	28649.00000000	147.00000000	484.00000000	3368.00000000	14125.00000000	10367.00000000	157.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.00000000	110.00000000	110.00000000	0.00000000
0.02187711	17.69145393	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4442.45720959	28613.00000000	146.00000000	508.00000000	3383.00000000	14138.00000000	10263.00000000	176.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.00000000	110.00000000	110.00000000	0.00000000
0.02257154	16.10414124	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4502.36901855	28634.00000000	148.00000000	501.00000000	3393.00000000	14183.00000000	10260.00000000	148.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.00000000	110.00000000	110.00000000	0.00000000
